entry_time,exit_time,side,entry_price,exit_price,entry_notional,pnl_pct_unlev,pnl_pct_equity,hold_bars,exit_reason
2026-04-25 12:00:00+00:00,2026-04-25 21:00:00+00:00,short,77638.7000,77439.0000,1.273525,0.002572,0.003276,9,time_exit
2026-04-26 06:00:00+00:00,2026-04-26 15:00:00+00:00,short,77949.4000,78053.5000,1.326301,-0.001335,-0.001771,9,time_exit
2026-04-27 00:00:00+00:00,2026-04-27 01:00:00+00:00,short,78614.4000,79264.1000,0.710553,-0.008264,-0.005872,1,stop_loss
2026-04-27 01:00:00+00:00,2026-04-27 10:00:00+00:00,short,79264.1000,77856.1000,0.700174,0.017763,0.012437,9,time_exit
2026-04-28 22:00:00+00:00,2026-04-29 02:00:00+00:00,short,76321.5000,76535.0000,0.930949,-0.002797,-0.002604,4,trail_stop
2026-04-29 05:00:00+00:00,2026-04-29 10:00:00+00:00,short,77224.1000,77605.4000,0.959433,-0.004938,-0.004737,5,stop_loss
2026-04-29 12:00:00+00:00,2026-04-29 21:00:00+00:00,short,77552.5000,75636.1000,0.855864,0.024711,0.021149,9,time_exit
2026-04-30 08:00:00+00:00,2026-04-30 16:00:00+00:00,short,76129.9000,76423.0000,0.683580,-0.003850,-0.002632,8,trail_stop
2026-05-04 03:00:00+00:00,2026-05-04 09:00:00+00:00,short,80136.6000,79666.6000,0.731549,0.005865,0.004291,6,continue_fail_2bars
2026-05-07 09:00:00+00:00,2026-05-07 18:00:00+00:00,short,81196.0000,80053.3000,0.854839,0.014073,0.012030,9,time_exit
2026-05-13 02:00:00+00:00,2026-05-13 10:00:00+00:00,short,80960.1000,81255.4000,0.862512,-0.003647,-0.003146,8,stop_loss
2026-05-14 15:00:00+00:00,2026-05-14 17:00:00+00:00,short,80929.6000,81839.2000,0.715308,-0.011239,-0.008040,2,stop_loss
2026-05-14 18:00:00+00:00,2026-05-15 01:00:00+00:00,short,81620.0000,81468.7000,0.648481,0.001854,0.001202,7,trail_stop
2026-05-19 06:00:00+00:00,2026-05-19 15:00:00+00:00,short,76872.8000,76365.6000,0.803631,0.006598,0.005302,9,time_exit
2026-05-20 08:00:00+00:00,2026-05-20 13:00:00+00:00,short,77250.0000,77590.2000,0.934627,-0.004404,-0.004116,5,stop_loss
2026-05-20 13:00:00+00:00,2026-05-20 18:00:00+00:00,short,77590.2000,77537.1000,0.973319,0.000684,0.000666,5,trail_stop
2026-05-20 18:00:00+00:00,2026-05-21 01:00:00+00:00,short,77537.1000,77929.1000,0.869079,-0.005056,-0.004394,7,stop_loss
2026-05-21 01:00:00+00:00,2026-05-21 10:00:00+00:00,short,77929.1000,77596.8000,0.920791,0.004264,0.003926,9,time_exit
2026-05-21 10:00:00+00:00,2026-05-21 18:00:00+00:00,short,77596.8000,77831.0000,0.877103,-0.003018,-0.002647,8,trail_stop
2026-05-21 18:00:00+00:00,2026-05-22 03:00:00+00:00,short,77831.0000,77638.2000,0.746695,0.002477,0.001850,9,time_exit
2026-05-22 03:00:00+00:00,2026-05-22 12:00:00+00:00,short,77638.2000,77394.8000,0.926752,0.003135,0.002905,9,time_exit
2026-05-22 12:00:00+00:00,2026-05-22 21:00:00+00:00,short,77394.8000,75939.5000,1.180406,0.018804,0.022196,9,time_exit
2026-05-23 21:00:00+00:00,2026-05-24 06:00:00+00:00,short,77246.9000,76780.3000,0.729486,0.006040,0.004406,9,time_exit
2026-05-29 17:00:00+00:00,2026-05-30 02:00:00+00:00,short,74022.1000,73623.6000,0.697105,0.005384,0.003753,9,time_exit
2026-05-30 18:00:00+00:00,2026-05-30 20:00:00+00:00,short,73982.0000,73980.0000,1.243465,0.000027,0.000034,2,continue_fail_2bars
2026-06-14 23:00:00+00:00,2026-06-15 04:00:00+00:00,short,65389.2000,65894.6000,0.730330,-0.007729,-0.005645,5,stop_loss
