entry_ts,exit_ts,side,entry_price,exit_price,max_position_ratio,avg_position_ratio,add_count,bars_held,entry_reason,exit_reason,gross_pnl,fee,slippage_cost,net_pnl,return_on_equity,return_on_margin,max_adverse_excursion,max_favorable_excursion,entry_trend_context,exit_trend_context,entry_was_probe,entry_was_sentinel,entry_was_crash,hold_mode,entry_trend_direction,entry_trend_strength,entry_trend_phase,exit_trend_direction,exit_trend_phase,trend_upgrade_done,trend_exit_reason
2026-04-29 06:00:00+00:00,2026-04-29 07:00:00+00:00,SHORT,77239.24906,76978.5,0.05944255143404007,0.05944255143404007,0,1,OPEN_SHORT_SIGNAL,CLOSE_REVERSE_SIGNAL,0.004013397229791171,0.00047554041147232056,0.0,0.00353785681831885,0.004013397229791171,0.06751724367424913,0.0,0.0,,,0,0,0,NORMAL,NONE,NONE,NONE,NONE,NONE,0,
2026-04-29 16:00:00+00:00,2026-04-29 17:00:00+00:00,SHORT,75873.92218000001,75774.7,0.04,0.04,0,1,OPEN_SHORT_CRASH,CLOSE_REVERSE_SIGNAL,0.0010461795267641093,0.00032,0.0,0.0007261795267641093,0.0010461795267641093,0.026154488169102732,0.0,0.0,,,0,0,1,CRASH,NONE,NONE,NONE,NONE,NONE,0,
2026-05-11 10:00:00+00:00,2026-05-11 18:00:00+00:00,LONG,80939.48466,81894.1,0.10950526371598245,0.10950526371598245,2,8,OPEN_LONG_SIGNAL,CLOSE_MAX_HOLD_BARS,0.025830509050839976,0.0008760421097278594,0.0,0.024954466941112117,0.025830509050839976,0.23588372078473865,0.0,0.0,CLOSE_LT_EMA_FAST,,0,0,0,NORMAL,NONE,NONE,NONE,UP,EARLY,0,
2026-05-13 14:00:00+00:00,2026-05-13 17:00:00+00:00,SHORT,79601.87644000001,79069.5,0.06,0.06,0,3,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.008025586287297434,0.00047999999999999996,0.0,0.007545586287297434,0.008025586287297434,0.13375977145495724,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW|LOWER_HIGH_LOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,DOWN,CONTINUATION,0,
2026-05-16 01:00:00+00:00,2026-05-16 03:00:00+00:00,LONG,79091.41512,79113.9,0.08651562631130219,0.08651562631130219,1,2,OPEN_LONG_SIGNAL,CLOSE_REVERSE_SIGNAL,0.0004919101454391896,0.0006921250104904175,0.0,-0.0002002148650512279,0.0004919101454391896,0.005685795346024417,0.0,0.0,EMA_FAST_LT_EMA_SLOW,EMA_FAST_LT_EMA_SLOW,0,0,0,NORMAL,NONE,WEAK,NONE,NONE,NONE,0,
2026-05-18 02:00:00+00:00,2026-05-18 04:00:00+00:00,SHORT,77069.0831,76900.1,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.0026311422407463048,0.00047999999999999996,0.0,0.002151142240746305,0.0026311422407463048,0.04385237067910508,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,WEAK,EARLY,DOWN,EARLY,0,
2026-05-24 22:00:00+00:00,2026-05-25 06:00:00+00:00,LONG,76121.12117999999,77369.9,0.11431334242224693,0.11431334242224693,2,8,OPEN_LONG_SIGNAL,CLOSE_MAX_HOLD_BARS,0.037506562869128325,0.0009145067393779754,0.0,0.03659205612975035,0.037506562869128325,0.328103107427196,0.0,0.0,CLOSE_LT_EMA_FAST,,0,0,0,NORMAL,DOWN,WEAK,REVERSAL_RISK,UP,EARLY,0,
2026-06-01 15:00:00+00:00,2026-06-01 17:00:00+00:00,SHORT,71534.1903,71537.7,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-5.88759023109272e-05,0.00047999999999999996,0.0,-0.0005388759023109271,-5.88759023109272e-05,-0.0009812650385154535,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,CONTINUATION,DOWN,CONTINUATION,0,
2026-06-02 15:00:00+00:00,2026-06-02 18:00:00+00:00,SHORT,67976.30202,67466.0,0.06,0.06,0,3,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.009008469213577314,0.00047999999999999996,0.0,0.008528469213577314,0.009008469213577314,0.1501411535596219,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,ACCELERATION,DOWN,CONTINUATION,0,
2026-06-04 01:00:00+00:00,2026-06-04 03:00:00+00:00,SHORT,63301.837100000004,63198.4,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,0.0019608359833841755,0.00047999999999999996,0.0,0.0014808359833841755,0.0019608359833841755,0.032680599723069595,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,STRONG,ACCELERATION,DOWN,EXHAUSTION,0,
2026-06-17 18:00:00+00:00,2026-06-17 21:00:00+00:00,SHORT,66059.88538,64405.9,0.115646480768919,0.115646480768919,2,3,OPEN_SHORT_SIGNAL,CLOSE_TREND_BROKEN,0.05791036037678447,0.0009251718461513519,0.0,0.05698518853063312,0.05791036037678447,0.5007533302504817,0.0,0.0,EMA_FAST_LT_EMA_SLOW,CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,0,TREND,NONE,NONE,NONE,DOWN,REVERSAL_RISK,0,CLOSE_TREND_BROKEN
2026-06-18 16:00:00+00:00,2026-06-18 18:00:00+00:00,SHORT,62325.332440000006,62579.2,0.06,0.06,0,2,OPEN_SHORT_CRASH,CLOSE_CRASH_FAILED,-0.004887917321472209,0.00047999999999999996,0.0,-0.00536791732147221,-0.004887917321472209,-0.0814652886912035,0.0,0.0,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,DOWN_RET6_ATR|CLOSE_LT_EMA_FAST|EMA_FAST_LT_EMA_SLOW,0,0,1,CRASH,DOWN,NORMAL,EARLY,DOWN,CONTINUATION,0,
