entry_index,exit_index,direction,entry_time,exit_time,entry_price,exit_price,raw_return,net_roi,holding_bars
1,4,long,2025-06-23 03:00:00+00:00,2025-06-23 06:00:00+00:00,101104.4,101885.0,0.007720732233216454,0.13841464466432907,3
4,9,short,2025-06-23 06:00:00+00:00,2025-06-23 11:00:00+00:00,101885.0,101248.5,0.006286512886610751,0.10973025773221501,5
9,11,long,2025-06-23 11:00:00+00:00,2025-06-23 13:00:00+00:00,101248.5,102306.1,0.010445586848200294,0.19291173696400588,2
11,14,short,2025-06-23 13:00:00+00:00,2025-06-23 16:00:00+00:00,102306.1,100642.9,0.016525755915221207,0.3145151183044242,3
14,20,long,2025-06-23 16:00:00+00:00,2025-06-23 22:00:00+00:00,100642.9,105485.8,0.04811963884188564,0.9463927768377127,6
20,22,short,2025-06-23 22:00:00+00:00,2025-06-24 00:00:00+00:00,105485.8,105086.4,0.0038006821053915285,0.06001364210783057,2
22,23,long,2025-06-24 00:00:00+00:00,2025-06-24 01:00:00+00:00,105086.4,105383.5,0.002827197429924322,0.04054394859848644,1
23,24,short,2025-06-24 01:00:00+00:00,2025-06-24 02:00:00+00:00,105383.5,104721.9,0.006317685221524982,0.11035370443049963,1
24,28,long,2025-06-24 02:00:00+00:00,2025-06-24 06:00:00+00:00,104721.9,105607.0,0.008451909294999504,0.15303818589999008,4
28,29,short,2025-06-24 06:00:00+00:00,2025-06-24 07:00:00+00:00,105607.0,104891.8,0.006818454826783338,0.12036909653566674,1
29,32,long,2025-06-24 07:00:00+00:00,2025-06-24 10:00:00+00:00,104891.8,105224.8,0.0031747000242154932,0.047494000484309865,3
35,36,long,2025-06-24 13:00:00+00:00,2025-06-24 14:00:00+00:00,105030.0,105455.5,0.004051223459963893,0.06502446919927786,1
36,37,short,2025-06-24 14:00:00+00:00,2025-06-24 15:00:00+00:00,105455.5,105184.4,0.0025773783945148843,0.035547567890297685,1
37,38,long,2025-06-24 15:00:00+00:00,2025-06-24 16:00:00+00:00,105184.4,106160.1,0.00927609037081556,0.16952180741631118,1
38,40,short,2025-06-24 16:00:00+00:00,2025-06-24 18:00:00+00:00,106160.1,105471.2,0.00653164086499447,0.11463281729988939,2
40,42,long,2025-06-24 18:00:00+00:00,2025-06-24 20:00:00+00:00,105471.2,106020.0,0.005203316165929728,0.08806632331859454,2
43,48,long,2025-06-24 21:00:00+00:00,2025-06-25 02:00:00+00:00,105930.6,106420.0,0.0046200059284096096,0.07640011856819219,5
48,50,short,2025-06-25 02:00:00+00:00,2025-06-25 04:00:00+00:00,106420.0,106138.8,0.002649361025374386,0.03698722050748772,2
50,59,long,2025-06-25 04:00:00+00:00,2025-06-25 13:00:00+00:00,106138.8,107870.2,0.016312601989093567,0.3102520397818713,9
59,61,short,2025-06-25 13:00:00+00:00,2025-06-25 15:00:00+00:00,107870.2,106982.6,0.00829667628193742,0.1499335256387484,2
61,66,long,2025-06-25 15:00:00+00:00,2025-06-25 20:00:00+00:00,106982.6,107717.7,0.006871210832415597,0.12142421664831193,5
66,68,short,2025-06-25 20:00:00+00:00,2025-06-25 22:00:00+00:00,107717.7,107222.5,0.0046184336310008955,0.07636867262001791,2
68,72,long,2025-06-25 22:00:00+00:00,2025-06-26 02:00:00+00:00,107222.5,107878.0,0.006113455664622736,0.1062691132924547,4
72,75,short,2025-06-26 02:00:00+00:00,2025-06-26 05:00:00+00:00,107878.0,107588.1,0.0026945359198646823,0.037890718397293646,3
77,83,short,2025-06-26 07:00:00+00:00,2025-06-26 13:00:00+00:00,107768.5,106905.9,0.008068778243296215,0.1453755648659243,6
83,84,long,2025-06-26 13:00:00+00:00,2025-06-26 14:00:00+00:00,106905.9,107393.1,0.004557278877966642,0.07514557755933284,1
84,87,short,2025-06-26 14:00:00+00:00,2025-06-26 17:00:00+00:00,107393.1,107136.9,0.0023913329581126685,0.03182665916225337,3
87,90,long,2025-06-26 17:00:00+00:00,2025-06-26 20:00:00+00:00,107136.9,107727.7,0.005514439936193716,0.0942887987238743,3
90,94,short,2025-06-26 20:00:00+00:00,2025-06-27 00:00:00+00:00,107727.7,106623.9,0.010352275615504558,0.19104551231009115,4
94,98,long,2025-06-27 00:00:00+00:00,2025-06-27 04:00:00+00:00,106623.9,107453.3,0.0077787437900884715,0.13957487580176942,4
98,101,short,2025-06-27 04:00:00+00:00,2025-06-27 07:00:00+00:00,107453.3,106816.9,0.0059578587283473095,0.10315717456694617,3
103,106,short,2025-06-27 09:00:00+00:00,2025-06-27 12:00:00+00:00,107042.6,106631.7,0.0038534507093106463,0.061069014186212925,3
107,108,short,2025-06-27 13:00:00+00:00,2025-06-27 14:00:00+00:00,106775.5,106508.7,0.0025049596887389836,0.03409919377477967,1
108,110,long,2025-06-27 14:00:00+00:00,2025-06-27 16:00:00+00:00,106508.7,107418.8,0.008544841876766851,0.154896837535337,2
110,112,short,2025-06-27 16:00:00+00:00,2025-06-27 18:00:00+00:00,107418.8,106649.5,0.007213348398257935,0.12826696796515868,2
112,121,long,2025-06-27 18:00:00+00:00,2025-06-28 03:00:00+00:00,106649.5,107248.0,0.005611840655605604,0.09623681311211207,9
122,125,long,2025-06-28 04:00:00+00:00,2025-06-28 07:00:00+00:00,107143.1,107433.0,0.002705727200351671,0.038114544007033416,3
125,131,short,2025-06-28 07:00:00+00:00,2025-06-28 13:00:00+00:00,107433.0,107066.5,0.003423106200352022,0.05246212400704044,6
131,135,long,2025-06-28 13:00:00+00:00,2025-06-28 17:00:00+00:00,107066.5,107424.5,0.0033437162884748517,0.050874325769497034,4
135,138,short,2025-06-28 17:00:00+00:00,2025-06-28 20:00:00+00:00,107424.5,107108.2,0.0029530885590458578,0.043061771180917155,3
138,142,long,2025-06-28 20:00:00+00:00,2025-06-29 00:00:00+00:00,107108.2,107421.4,0.002924145863715255,0.0424829172743051,4
142,145,short,2025-06-29 00:00:00+00:00,2025-06-29 03:00:00+00:00,107421.4,107156.5,0.00247208522114839,0.0334417044229678,3
145,153,long,2025-06-29 03:00:00+00:00,2025-06-29 11:00:00+00:00,107156.5,108448.3,0.012055264962928192,0.22510529925856382,8
153,162,short,2025-06-29 11:00:00+00:00,2025-06-29 20:00:00+00:00,108448.3,107300.1,0.010700828796990747,0.19801657593981492,9
162,166,long,2025-06-29 20:00:00+00:00,2025-06-30 00:00:00+00:00,107300.1,108665.5,0.012725058038156378,0.23850116076312755,4
166,175,short,2025-06-30 00:00:00+00:00,2025-06-30 09:00:00+00:00,108665.5,107428.0,0.011519343187995634,0.21438686375991267,9
177,180,short,2025-06-30 11:00:00+00:00,2025-06-30 14:00:00+00:00,107608.1,106764.5,0.007901502840363728,0.14203005680727454,3
180,182,long,2025-06-30 14:00:00+00:00,2025-06-30 16:00:00+00:00,106764.5,107551.7,0.007373237358859974,0.13146474717719947,2
182,184,short,2025-06-30 16:00:00+00:00,2025-06-30 18:00:00+00:00,107551.7,107191.0,0.003365021317088157,0.05130042634176314,2
184,185,long,2025-06-30 18:00:00+00:00,2025-06-30 19:00:00+00:00,107191.0,107689.6,0.004651509921542063,0.07703019843084126,1
185,188,short,2025-06-30 19:00:00+00:00,2025-06-30 22:00:00+00:00,107689.6,107051.1,0.005964441280846167,0.10328882561692332,3
188,190,long,2025-06-30 22:00:00+00:00,2025-07-01 00:00:00+00:00,107051.1,107327.8,0.002584746910587521,0.03569493821175042,2
190,192,short,2025-07-01 00:00:00+00:00,2025-07-01 02:00:00+00:00,107327.8,107050.1,0.0025941124763078083,0.035882249526156165,2
193,194,short,2025-07-01 03:00:00+00:00,2025-07-01 04:00:00+00:00,107149.4,106836.3,0.0029306518477332233,0.042613036954664466,1
