entry_index,exit_index,direction,entry_time,exit_time,entry_price,exit_price,raw_return,net_roi,holding_bars
36,44,long,2026-03-26 17:00:00+00:00,2026-03-27 01:00:00+00:00,68456.1,69016.4,0.008184807489763246,0.1476961497952649,8
224,257,long,2026-04-03 13:00:00+00:00,2026-04-04 22:00:00+00:00,66644.6,67368.9,0.01086809734021954,0.2013619468043908,33
475,483,long,2026-04-14 00:00:00+00:00,2026-04-14 08:00:00+00:00,74127.9,74713.9,0.007905255645984877,0.14210511291969752,8
514,528,long,2026-04-15 15:00:00+00:00,2026-04-16 05:00:00+00:00,73797.5,75006.1,0.016377248551780355,0.3115449710356071,14
645,653,long,2026-04-21 02:00:00+00:00,2026-04-21 10:00:00+00:00,75540.0,76702.1,0.0153839025681759,0.291678051363518,8
664,682,long,2026-04-21 21:00:00+00:00,2026-04-22 15:00:00+00:00,75506.4,79234.3,0.04937197376646241,0.9714394753292481,18
737,749,long,2026-04-24 22:00:00+00:00,2026-04-25 10:00:00+00:00,77294.5,77749.3,0.005883989158348868,0.10167978316697734,12
756,770,long,2026-04-25 17:00:00+00:00,2026-04-26 07:00:00+00:00,77213.4,78061.5,0.010983844773057694,0.20367689546115386,14
775,784,long,2026-04-26 12:00:00+00:00,2026-04-26 21:00:00+00:00,77795.5,78369.7,0.00738088964014616,0.13161779280292318,9
803,811,long,2026-04-27 16:00:00+00:00,2026-04-28 00:00:00+00:00,76587.9,77334.9,0.00975349892084787,0.17906997841695738,8
869,879,long,2026-04-30 10:00:00+00:00,2026-04-30 20:00:00+00:00,76001.6,76451.1,0.005914349171596278,0.10228698343192555,10
918,929,long,2026-05-02 11:00:00+00:00,2026-05-02 22:00:00+00:00,78105.7,78793.2,0.008802174489185743,0.16004348978371485,11
933,943,long,2026-05-03 02:00:00+00:00,2026-05-03 12:00:00+00:00,78131.3,78715.4,0.007475877145266985,0.13351754290533968,10
988,999,long,2026-05-05 09:00:00+00:00,2026-05-05 20:00:00+00:00,80551.0,81607.2,0.013112189792801932,0.24624379585603862,11
1053,1062,long,2026-05-08 02:00:00+00:00,2026-05-08 11:00:00+00:00,79449.7,80181.9,0.00921589382968091,0.1683178765936182,9
1067,1077,long,2026-05-08 16:00:00+00:00,2026-05-09 02:00:00+00:00,79768.7,80379.2,0.007653377828647168,0.13706755657294334,10
1082,1094,long,2026-05-09 07:00:00+00:00,2026-05-09 19:00:00+00:00,80181.7,80896.9,0.00891974103816695,0.162394820763339,12
1098,1116,long,2026-05-09 23:00:00+00:00,2026-05-10 17:00:00+00:00,80634.0,81441.5,0.010014385991021113,0.18428771982042225,18
1126,1134,long,2026-05-11 03:00:00+00:00,2026-05-11 11:00:00+00:00,80693.4,81167.1,0.0058703685803300765,0.10140737160660152,8
1170,1180,long,2026-05-12 23:00:00+00:00,2026-05-13 09:00:00+00:00,80461.0,81255.5,0.00987434906352136,0.18148698127042717,10
1268,1277,long,2026-05-17 01:00:00+00:00,2026-05-17 10:00:00+00:00,77688.1,78423.0,0.009459621228991244,0.17319242457982487,9
1341,1351,long,2026-05-20 02:00:00+00:00,2026-05-20 12:00:00+00:00,76654.5,77590.2,0.012206719762049234,0.22813439524098467,10
1433,1446,long,2026-05-23 22:00:00+00:00,2026-05-24 11:00:00+00:00,76553.0,77289.5,0.009620785599519177,0.17641571199038353,13
1460,1475,long,2026-05-25 01:00:00+00:00,2026-05-25 16:00:00+00:00,76905.6,77694.5,0.010258030624557879,0.18916061249115756,15
1573,1607,long,2026-05-29 18:00:00+00:00,2026-05-31 04:00:00+00:00,73343.0,74144.3,0.01092537801835225,0.20250756036704498,34
1883,1895,long,2026-06-11 16:00:00+00:00,2026-06-12 04:00:00+00:00,62546.6,63670.4,0.017967403503947432,0.3433480700789487,12
1919,1930,long,2026-06-13 04:00:00+00:00,2026-06-13 15:00:00+00:00,63475.2,64265.0,0.012442654769106776,0.2328530953821355,11
2075,2084,long,2026-06-19 16:00:00+00:00,2026-06-20 01:00:00+00:00,62943.7,63550.9,0.00964671603353473,0.1769343206706946,9
2101,2110,long,2026-06-20 18:00:00+00:00,2026-06-21 03:00:00+00:00,63776.4,64398.8,0.009759095841094911,0.1791819168218982,9
