time,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,close_time,amount
2025-06-25 03:00:00+00:00,106420.0,106560.0,106160.3,106177.0,3254.356,346095917.0341,62991,1335.482,142057115.2734,2025-06-25 03:59:59.999000+00:00,346095917.0341
2025-06-25 04:00:00+00:00,106176.9,106259.9,105949.2,106138.8,3331.943,353554132.6288,59985,1639.751,173995508.5329,2025-06-25 04:59:59.999000+00:00,353554132.6288
2025-06-25 05:00:00+00:00,106138.9,106382.2,105988.0,106159.7,2518.517,267403823.3922,48648,1231.932,130816207.0932,2025-06-25 05:59:59.999000+00:00,267403823.3922
2025-06-25 06:00:00+00:00,106159.7,106419.9,106074.8,106352.6,2336.365,248286558.7373,47661,1142.148,121383873.5201,2025-06-25 06:59:59.999000+00:00,248286558.7373
2025-06-25 07:00:00+00:00,106352.6,106664.2,106267.5,106547.5,3670.963,390970037.8718,66583,2011.669,214238684.3579,2025-06-25 07:59:59.999000+00:00,390970037.8718
2025-06-25 08:00:00+00:00,106547.5,106620.0,106286.5,106599.9,3419.383,363986876.9822,64269,1643.96,175012472.9251,2025-06-25 08:59:59.999000+00:00,363986876.9822
2025-06-25 09:00:00+00:00,106600.0,106950.0,106400.0,106589.8,8981.656,958237483.5698,143633,4423.139,472007324.7658,2025-06-25 09:59:59.999000+00:00,958237483.5698
2025-06-25 10:00:00+00:00,106589.7,107166.3,106507.4,107068.6,7899.466,844693594.348,134546,4397.181,470214870.5193,2025-06-25 10:59:59.999000+00:00,844693594.348
2025-06-25 11:00:00+00:00,107068.6,107187.6,106811.1,107136.3,4970.191,531956253.7322,86000,2626.528,281162520.8565,2025-06-25 11:59:59.999000+00:00,531956253.7322
2025-06-25 12:00:00+00:00,107136.3,107257.6,106868.6,107177.9,4668.076,499663443.7914,84655,2300.612,246280268.3243,2025-06-25 12:59:59.999000+00:00,499663443.7914
2025-06-25 13:00:00+00:00,107177.9,108095.7,107101.3,107870.2,24332.181,2621190284.888,331918,12120.559,1305718585.6401,2025-06-25 13:59:59.999000+00:00,2621190284.888
2025-06-25 14:00:00+00:00,107870.2,108079.0,107162.6,107559.3,19033.899,2048094211.769,273044,9196.635,989535171.2308,2025-06-25 14:59:59.999000+00:00,2048094211.769
2025-06-25 15:00:00+00:00,107559.3,107572.0,106700.0,106982.6,14621.59,1565717131.7415,216849,7402.278,792673732.9266,2025-06-25 15:59:59.999000+00:00,1565717131.7415
2025-06-25 16:00:00+00:00,106982.7,107449.0,106917.8,107087.4,6286.528,673868782.4273,118927,3103.892,332696584.8172,2025-06-25 16:59:59.999000+00:00,673868782.4273
2025-06-25 17:00:00+00:00,107087.3,107488.7,106859.0,107344.7,4645.172,497911446.8337,97754,2331.757,249951994.0519,2025-06-25 17:59:59.999000+00:00,497911446.8337
2025-06-25 18:00:00+00:00,107344.7,107477.7,107107.2,107356.4,3026.159,324799185.6014,73594,1521.363,163303679.5355,2025-06-25 18:59:59.999000+00:00,324799185.6014
2025-06-25 19:00:00+00:00,107356.8,107863.1,107328.6,107698.2,7013.252,755017323.6316,111638,3646.112,392525194.1407,2025-06-25 19:59:59.999000+00:00,755017323.6316
2025-06-25 20:00:00+00:00,107698.1,107800.8,107437.0,107717.7,3097.351,333364452.4421,58527,1637.344,176245316.1812,2025-06-25 20:59:59.999000+00:00,333364452.4421
2025-06-25 21:00:00+00:00,107717.7,107965.9,107400.0,107505.9,3857.667,415156636.4576,66122,2012.147,216617868.7737,2025-06-25 21:59:59.999000+00:00,415156636.4576
2025-06-25 22:00:00+00:00,107505.9,107517.7,107162.8,107222.5,2799.713,300429852.9291,66200,1291.205,138553529.3208,2025-06-25 22:59:59.999000+00:00,300429852.9291
2025-06-25 23:00:00+00:00,107222.4,107333.3,107022.6,107280.0,2930.447,314133110.4809,54990,1755.24,188176384.5355,2025-06-25 23:59:59.999000+00:00,314133110.4809
2025-06-26 00:00:00+00:00,107280.1,107575.3,107188.0,107269.0,2998.894,321987622.2871,66607,1480.738,158989812.7845,2025-06-26 00:59:59.999000+00:00,321987622.2871
2025-06-26 01:00:00+00:00,107269.0,107869.8,107041.4,107570.8,6207.529,667341288.0537,115007,3274.52,352098002.2968,2025-06-26 01:59:59.999000+00:00,667341288.0537
2025-06-26 02:00:00+00:00,107570.7,108000.0,107496.7,107878.0,5233.062,563894034.4732,109854,2641.453,284705430.4489,2025-06-26 02:59:59.999000+00:00,563894034.4732
2025-06-26 03:00:00+00:00,107877.9,108249.9,107720.9,107809.3,7003.293,756196572.2719,126837,3772.761,407488049.9149,2025-06-26 03:59:59.999000+00:00,756196572.2719
2025-06-26 04:00:00+00:00,107809.4,107916.9,107635.4,107792.9,2687.613,289584869.0655,60518,1386.084,149351743.4332,2025-06-26 04:59:59.999000+00:00,289584869.0655
2025-06-26 05:00:00+00:00,107792.9,107792.9,107467.6,107588.1,2214.308,238279086.5639,48454,960.639,103373953.6111,2025-06-26 05:59:59.999000+00:00,238279086.5639
2025-06-26 06:00:00+00:00,107588.2,107762.0,107509.6,107702.8,1815.493,195472840.5774,41659,972.905,104754374.521,2025-06-26 06:59:59.999000+00:00,195472840.5774
2025-06-26 07:00:00+00:00,107702.7,108044.9,107692.5,107768.5,4145.27,447189541.9262,72703,1961.743,211649105.076,2025-06-26 07:59:59.999000+00:00,447189541.9262
2025-06-26 08:00:00+00:00,107768.6,108135.0,107643.2,107699.9,4036.219,435291286.4759,73471,1948.699,210188162.7871,2025-06-26 08:59:59.999000+00:00,435291286.4759
2025-06-26 09:00:00+00:00,107700.0,107736.8,107202.0,107263.3,7524.605,808189702.5865,111084,3149.227,338194278.1008,2025-06-26 09:59:59.999000+00:00,808189702.5865
2025-06-26 10:00:00+00:00,107263.3,107413.3,107178.3,107329.1,2664.23,285842568.2176,60015,1325.569,142225363.2441,2025-06-26 10:59:59.999000+00:00,285842568.2176
2025-06-26 11:00:00+00:00,107329.0,107350.0,107050.0,107272.8,3627.65,388903984.0146,69638,1603.302,171896902.9596,2025-06-26 11:59:59.999000+00:00,388903984.0146
2025-06-26 12:00:00+00:00,107272.8,107379.9,106965.6,107059.9,4574.171,490062788.3717,81849,2117.336,226879497.8744,2025-06-26 12:59:59.999000+00:00,490062788.3717
2025-06-26 13:00:00+00:00,107059.9,107316.3,106741.2,106905.9,8552.983,915308504.6217,151851,4536.501,485559581.8293,2025-06-26 13:59:59.999000+00:00,915308504.6217
2025-06-26 14:00:00+00:00,106905.9,107724.5,106833.6,107393.1,9551.387,1025183838.3179,179719,5142.279,551880135.4773,2025-06-26 14:59:59.999000+00:00,1025183838.3179
2025-06-26 15:00:00+00:00,107393.0,107480.0,106500.0,107260.0,10598.129,1133301214.3478,185038,5207.068,556784359.4795,2025-06-26 15:59:59.999000+00:00,1133301214.3478
2025-06-26 16:00:00+00:00,107259.9,107362.5,106952.0,107149.0,4030.495,431850183.3286,89140,1664.093,178300779.993,2025-06-26 16:59:59.999000+00:00,431850183.3286
2025-06-26 17:00:00+00:00,107149.0,107388.8,107073.2,107136.9,2604.473,279331868.0274,68601,1291.233,138497903.8995,2025-06-26 17:59:59.999000+00:00,279331868.0274
2025-06-26 18:00:00+00:00,107136.9,107543.1,107075.3,107331.9,3662.342,393079589.1943,80964,2012.381,215999198.5203,2025-06-26 18:59:59.999000+00:00,393079589.1943
2025-06-26 19:00:00+00:00,107331.8,107630.8,107269.4,107476.1,3000.603,322476424.714,62385,1591.291,171029594.4884,2025-06-26 19:59:59.999000+00:00,322476424.714
2025-06-26 20:00:00+00:00,107476.0,107971.3,107400.0,107727.7,5070.001,546111018.7926,91537,2900.727,312461991.3369,2025-06-26 20:59:59.999000+00:00,546111018.7926
2025-06-26 21:00:00+00:00,107727.7,107749.5,106789.9,106969.6,6483.156,694503903.4095,116851,2576.143,275899438.0285,2025-06-26 21:59:59.999000+00:00,694503903.4095
2025-06-26 22:00:00+00:00,106969.5,107178.9,106898.9,106941.0,3622.773,387718471.2785,67200,1986.715,212652724.4188,2025-06-26 22:59:59.999000+00:00,387718471.2785
2025-06-26 23:00:00+00:00,106941.0,107021.0,106811.0,106913.7,2524.707,269891416.8061,50109,1248.667,133489332.3836,2025-06-26 23:59:59.999000+00:00,269891416.8061
2025-06-27 00:00:00+00:00,106913.8,107135.0,106603.6,106623.9,3664.163,391617542.5418,70937,1618.902,173065092.7567,2025-06-27 00:59:59.999000+00:00,391617542.5418
2025-06-27 01:00:00+00:00,106623.9,107171.5,106345.2,107069.5,7005.387,748078694.7506,113724,3910.722,417697306.895,2025-06-27 01:59:59.999000+00:00,748078694.7506
2025-06-27 02:00:00+00:00,107069.6,107246.3,106990.9,107194.4,2416.568,258998271.084,49250,1184.676,126965761.487,2025-06-27 02:59:59.999000+00:00,258998271.084
2025-06-27 03:00:00+00:00,107194.5,107462.5,107117.1,107428.0,2817.687,302406042.2908,51328,1468.209,157571357.2839,2025-06-27 03:59:59.999000+00:00,302406042.2908
2025-06-27 04:00:00+00:00,107428.1,107528.0,107301.0,107453.3,2555.637,274509173.7987,39434,1376.81,147886252.7325,2025-06-27 04:59:59.999000+00:00,274509173.7987
2025-06-27 05:00:00+00:00,107453.3,107506.8,107211.0,107211.0,2113.789,226907952.9408,40630,801.792,86071528.4835,2025-06-27 05:59:59.999000+00:00,226907952.9408
2025-06-27 06:00:00+00:00,107211.0,107340.5,107153.0,107229.1,1731.087,185663695.9636,37700,993.974,106609135.8578,2025-06-27 06:59:59.999000+00:00,185663695.9636
2025-06-27 07:00:00+00:00,107229.1,107686.0,106801.0,106816.9,7595.043,813834722.249,122477,3566.015,382197440.5868,2025-06-27 07:59:59.999000+00:00,813834722.249
2025-06-27 08:00:00+00:00,106816.9,107043.5,106616.8,106951.0,7954.495,849705455.7045,117513,4254.169,454460664.3541,2025-06-27 08:59:59.999000+00:00,849705455.7045
2025-06-27 09:00:00+00:00,106951.0,107094.3,106741.1,107042.6,4956.117,529957664.8873,73363,2935.402,313901832.1781,2025-06-27 09:59:59.999000+00:00,529957664.8873
2025-06-27 10:00:00+00:00,107042.6,107125.9,106890.1,106953.5,3911.803,418560624.5855,53425,2128.677,227783554.4238,2025-06-27 10:59:59.999000+00:00,418560624.5855
2025-06-27 11:00:00+00:00,106953.5,107112.1,106868.3,106943.7,1934.177,206882152.6809,38942,1112.573,119004720.5964,2025-06-27 11:59:59.999000+00:00,206882152.6809
2025-06-27 12:00:00+00:00,106943.7,107168.4,106551.0,106631.7,6036.622,644903174.1074,96422,2720.959,290721528.1021,2025-06-27 12:59:59.999000+00:00,644903174.1074
2025-06-27 13:00:00+00:00,106631.8,106937.6,106313.1,106775.5,8326.15,887857218.2484,144247,3911.804,417193091.1634,2025-06-27 13:59:59.999000+00:00,887857218.2484
2025-06-27 14:00:00+00:00,106775.6,107049.9,106313.6,106508.7,11022.447,1175267753.4556,170230,5657.114,603176600.7967,2025-06-27 14:59:59.999000+00:00,1175267753.4556
2025-06-27 15:00:00+00:00,106508.8,107378.6,106424.9,107261.3,8626.524,922757048.5242,136126,4832.377,516898476.7835,2025-06-27 15:59:59.999000+00:00,922757048.5242
2025-06-27 16:00:00+00:00,107261.2,107659.9,107021.9,107418.8,8959.819,961871838.5341,147098,4100.949,440398710.0734,2025-06-27 16:59:59.999000+00:00,961871838.5341
2025-06-27 17:00:00+00:00,107418.7,107445.6,106405.0,106809.2,9132.486,975339757.6631,146570,4384.43,468124279.2933,2025-06-27 17:59:59.999000+00:00,975339757.6631
