entry_index,exit_index,direction,entry_time,exit_time,entry_price,exit_price,raw_return,net_roi,holding_bars
0,1,long,2025-05-01 00:00:00+00:00,2025-05-01 01:00:00+00:00,0.17295,0.1743,0.0078057241977451675,0.15211448395490335,1
1,3,short,2025-05-01 01:00:00+00:00,2025-05-01 03:00:00+00:00,0.1743,0.17399,0.0017817115926201943,0.03163423185240388,2
3,5,long,2025-05-01 03:00:00+00:00,2025-05-01 05:00:00+00:00,0.17399,0.17519,0.006896948100465483,0.13393896200930966,2
5,6,short,2025-05-01 05:00:00+00:00,2025-05-01 06:00:00+00:00,0.17519,0.17476,0.0024605172808422893,0.04521034561684578,1
6,11,long,2025-05-01 06:00:00+00:00,2025-05-01 11:00:00+00:00,0.17476,0.17929,0.025921263447013176,0.5144252689402635,5
11,13,short,2025-05-01 11:00:00+00:00,2025-05-01 13:00:00+00:00,0.17929,0.17682,0.013969008030765728,0.27538016061531456,2
13,14,long,2025-05-01 13:00:00+00:00,2025-05-01 14:00:00+00:00,0.17682,0.18138,0.025788937902952114,0.5117787580590423,1
14,15,short,2025-05-01 14:00:00+00:00,2025-05-01 15:00:00+00:00,0.18138,0.18054,0.004652708541043493,0.08905417082086987,1
15,18,long,2025-05-01 15:00:00+00:00,2025-05-01 18:00:00+00:00,0.18054,0.18196,0.007865293009859275,0.1533058601971855,3
18,20,short,2025-05-01 18:00:00+00:00,2025-05-01 20:00:00+00:00,0.18196,0.1805,0.008088642659279888,0.15777285318559775,2
20,22,long,2025-05-01 20:00:00+00:00,2025-05-01 22:00:00+00:00,0.1805,0.18152,0.005650969529085836,0.10901939058171674,2
22,23,short,2025-05-01 22:00:00+00:00,2025-05-01 23:00:00+00:00,0.18152,0.18057,0.005261117572132656,0.10122235144265314,1
23,24,long,2025-05-01 23:00:00+00:00,2025-05-02 00:00:00+00:00,0.18057,0.18169,0.006202580716619499,0.12005161433238999,1
24,25,short,2025-05-02 00:00:00+00:00,2025-05-02 01:00:00+00:00,0.18169,0.18137,0.0017643491205820983,0.03128698241164196,1
25,26,long,2025-05-02 01:00:00+00:00,2025-05-02 02:00:00+00:00,0.18137,0.18355,0.012019628383966419,0.23639256767932837,1
