entry_index,exit_index,direction,entry_time,exit_time,entry_price,exit_price,raw_return,net_roi,holding_bars
0,11,long,2025-05-01 00:00:00+00:00,2025-05-01 11:00:00+00:00,0.17295,0.17929,0.036657993639780395,0.7291598727956079,11
13,26,long,2025-05-01 13:00:00+00:00,2025-05-02 02:00:00+00:00,0.17682,0.18355,0.03806130528220786,0.7572261056441572,13
26,31,short,2025-05-02 02:00:00+00:00,2025-05-02 07:00:00+00:00,0.18355,0.17927,0.023874602554805557,0.47349205109611114,5
38,58,short,2025-05-02 14:00:00+00:00,2025-05-03 10:00:00+00:00,0.18236,0.17744,0.027727682596934144,0.5505536519386829,20
61,76,short,2025-05-03 13:00:00+00:00,2025-05-04 04:00:00+00:00,0.17872,0.17473,0.02283523150002864,0.4527046300005728,15
77,97,short,2025-05-04 05:00:00+00:00,2025-05-05 01:00:00+00:00,0.17598,0.16962,0.03749557835160955,0.745911567032191,20
97,105,long,2025-05-05 01:00:00+00:00,2025-05-05 09:00:00+00:00,0.16962,0.17381,0.024702275675038354,0.4900455135007671,8
105,111,short,2025-05-05 09:00:00+00:00,2025-05-05 15:00:00+00:00,0.17381,0.16889,0.029131387293504618,0.5786277458700924,6
114,133,short,2025-05-05 18:00:00+00:00,2025-05-06 13:00:00+00:00,0.17196,0.16485,0.04313011828935398,0.8586023657870796,19
133,138,long,2025-05-06 13:00:00+00:00,2025-05-06 18:00:00+00:00,0.16485,0.16936,0.027358204428268307,0.5431640885653661,5
140,153,long,2025-05-06 20:00:00+00:00,2025-05-07 09:00:00+00:00,0.16824,0.1738,0.03304802662862594,0.6569605325725187,13
154,163,short,2025-05-07 10:00:00+00:00,2025-05-07 19:00:00+00:00,0.1738,0.16984,0.023316062176165886,0.4623212435233177,9
163,178,long,2025-05-07 19:00:00+00:00,2025-05-08 10:00:00+00:00,0.16984,0.18504,0.08949599623174764,1.7859199246349529,15
179,184,long,2025-05-08 11:00:00+00:00,2025-05-08 16:00:00+00:00,0.18302,0.19073,0.042126543547153394,0.8385308709430679,5
185,188,long,2025-05-08 17:00:00+00:00,2025-05-08 20:00:00+00:00,0.19016,0.19519,0.02645140933950363,0.5250281867900726,3
189,191,long,2025-05-08 21:00:00+00:00,2025-05-08 23:00:00+00:00,0.19297,0.19807,0.02642897859770943,0.5245795719541886,2
191,195,short,2025-05-08 23:00:00+00:00,2025-05-09 03:00:00+00:00,0.19807,0.1935,0.02361757105943152,0.4683514211886304,4
195,202,long,2025-05-09 03:00:00+00:00,2025-05-09 10:00:00+00:00,0.1935,0.20935,0.08191214470284236,1.6342428940568472,7
202,208,short,2025-05-09 10:00:00+00:00,2025-05-09 16:00:00+00:00,0.20935,0.2014,0.03947368421052633,0.7854736842105265,6
